,vx,vy,r,throttle,steering,dvx,dvy,dr
762,1.231095314025879,-0.1504279524087906,-0.1127834990620613,0.0,0.0,-0.07613301277160645,0.5884811282157898,3.2745555043220547
763,1.231573462486267,-0.1507798433303833,-0.1013873219490051,0.0,0.0,0.267946720123291,0.7822319865226746,5.13297835132107
764,1.2295726537704468,-0.1386583298444748,-0.0472923889756202,0.0,0.0,0.6248593330383301,0.058064609766009245,4.922117292881005
765,1.236932396888733,-0.1351352035999298,0.0012722450774163,0.0,0.0,0.3692328929901123,-0.18141344189643444,3.26433336595073
766,1.2420698404312134,-0.1374970376491546,0.0511499568819999,0.0,0.0,0.15534758567810059,-0.5037210881710052,2.801503613591195
767,1.2443170547485352,-0.1387634724378585,0.0665589123964309,0.0149999996647238,0.0149999996647238,0.1392960548400879,-0.5828566849231748,3.1308621168136606
768,1.2451767921447754,-0.1475714594125747,0.1071800291538238,0.0430000014603138,0.0430000014603138,0.17614364624023438,0.15736147761344632,1.1466518044471754
769,1.247102975845337,-0.150420606136322,0.1291761547327041,0.0430000014603138,0.0430000014603138,-0.003629922866821289,0.22133588790893416,-1.5396688133478151
770,1.24869966506958,-0.1444242298603058,0.1301130652427673,0.1180000007152557,0.1180000007152557,0.059485435485839844,-0.19366741180419506,-2.9676575213670753
771,1.2470303773880005,-0.1459938883781433,0.0983827784657478,0.1180000007152557,0.1180000007152557,-0.035250186920166016,-0.2611249685287448,-2.43116393685341
772,1.2498893737792969,-0.1482975780963897,0.0707599148154258,0.1400000005960464,0.1400000005960464,-0.3903210163116455,-0.1070551574230208,-3.1061113812029353
773,1.2463253736495972,-0.1512163877487182,0.0497594997286796,0.1560000032186508,0.1560000032186508,-0.14001131057740368,-0.28711706399917464,-5.289353244006629
774,1.242082953453064,-0.1504386812448501,0.0086376871913671,0.1560000032186508,0.1560000032186508,0.07873177528381348,-0.74516162276268,-6.72807795926928
775,1.243525147438049,-0.1569587290287017,-0.056027565151453,0.1720000058412552,0.1720000058412552,-0.08202195167540394,-0.5917228758335156,-7.448797486722471
776,1.2436575889587402,-0.1653419137001037,-0.1259238719940185,0.1720000058412552,0.1720000058412552,-0.25345683097839355,-0.42708367109298984,-7.060094177722934
777,1.241884708404541,-0.168793186545372,-0.2050035148859024,0.1870000064373016,0.1870000064373016,-0.16478896141052246,-0.5429171025752993,-6.044232100248334
