%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1660199454295489157,0,1.8736300468444824,-2.9696528911590576,0.05487700551748276,0.13650265336036682,-0.004086928442120552,0.016929686069488525,0.0,0.0
1660199454305574179,0,1.874311923980713,-2.969674587249756,0.05492531880736351,0.13497820496559143,-0.0021518971771001816,0.03414520248770714,0.0,0.0
1660199454315447233,0,1.874311923980713,-2.969674587249756,0.05492531880736351,0.13497820496559143,-0.0021518971771001816,0.03414520248770714,0.0,0.0
1660199454325556574,0,1.8765957355499268,-2.96954607963562,0.05557812377810478,0.12726254761219025,-0.0026595029048621655,0.06243697926402092,0.0,0.0
1660199454335524154,0,1.876171588897705,-2.969210147857666,0.05599917098879814,0.12329521775245667,-0.0014645810006186366,0.061431169509887695,0.0,0.0
1660199454345361175,0,1.8768093585968018,-2.9691061973571777,0.055978886783123016,0.12028338015079498,-0.0005424728151410818,0.0551752969622612,0.0,0.0
1660199454355541015,0,1.8768093585968018,-2.9691061973571777,0.055978886783123016,0.12028338015079498,-0.0005424728151410818,0.0551752969622612,0.0,0.0
1660199454365588635,0,1.8785617351531982,-2.9690732955932617,0.056113265454769135,0.1143592894077301,-0.000950999150518328,0.03195204213261604,0.0,0.0
1660199454375422462,0,1.8783981800079346,-2.96897292137146,0.05589640513062477,0.10685005784034729,-0.0030526751652359962,-0.002720855874940753,0.0,0.0
1660199454385480814,0,1.8788304328918457,-2.969003438949585,0.055711857974529266,0.10060590505599976,-0.004449109546840191,-0.014034519903361797,0.0,0.0
1660199454395414369,0,1.8791927099227905,-2.9690709114074707,0.0552678219974041,0.09661761671304703,-0.004595255013555288,-0.04319361597299576,0.0,0.0
1660199454405533964,0,1.8796820640563965,-2.969095468521118,0.05524079501628876,0.09547149389982224,-0.003966466058045626,-0.03550182655453682,0.0,0.0
1660199454415571715,0,1.8796820640563965,-2.969095468521118,0.05524079501628876,0.09547149389982224,-0.003966466058045626,-0.03550182655453682,0.0,0.0
1660199454425408848,0,1.8810395002365112,-2.969170331954956,0.05493561923503876,0.09193185716867447,-0.003101125592365861,-0.041582394391298294,0.0,0.0
1660199454435497651,0,1.8802226781845093,-2.9691193103790283,0.055139802396297455,0.08697636425495148,-0.0033081022556871176,-0.009442995302379131,0.0,0.0
1660199454445486024,0,1.8804638385772705,-2.969089984893799,0.05544408783316612,0.08471979945898056,-0.003901280229911208,0.010419339872896671,0.0,0.0
1660199454455505204,0,1.8806699514389038,-2.969072103500366,0.05553162470459938,0.08165659755468369,-0.0044373986311256886,0.029134539887309074,0.0,0.0
1660199454465466387,0,1.880854845046997,-2.969062566757202,0.05572560802102089,0.07918733358383179,-0.005143018439412117,0.03178688883781433,0.0,0.0
1660199454475494268,0,1.8810324668884277,-2.9690091609954834,0.05592736974358559,0.07711579650640488,-0.005004000384360552,0.027072791010141373,0.0,0.0
1660199454485367447,0,1.8811728954315186,-2.968968629837036,0.05611046403646469,0.07456430047750473,-0.004163438454270363,0.030694888904690742,0.0,0.0
1660199454495401018,0,1.8812899589538574,-2.9688942432403564,0.05632558837532997,0.07177343964576721,-0.004491266794502735,0.032461412250995636,0.0,0.0
1660199454505269287,0,1.8813754320144653,-2.968815326690674,0.056421227753162384,0.07005112618207932,-0.0037770848721265793,0.026982802897691727,0.0,0.0
1660199454515544692,0,1.881440281867981,-2.968771457672119,0.05653252452611923,0.06713543832302094,-0.003559794742614031,0.023126816377043724,0.0,0.0
