,X,Y,Psi,vx,vy,r,throttle,steering,dvx,dvy,dr
6832,-4.258147082321064,1.2043979671466796,0.2911105839666731,2.343159215511794,0.004222417190879679,0.3587821134460002,0.2329999953508377,-0.2549999952316284,0.5827708766591921,0.09100036217898314,6.7336800962152354
6833,-4.236877480180215,1.211203336461701,0.2946025597613572,2.3590961834340614,-0.005830589674200026,0.4564491049251156,0.2329999953508377,-0.2549999952316284,1.2524501038471738,-0.7900429713831201,7.675426983168426
6834,-4.21555444525673,1.2180326748528738,0.29824372383008796,2.3597613910960957,-0.005549564171119847,0.43044799509747217,0.2249999940395355,-0.2599999904632568,0.09284926029699594,0.03922536010151592,-3.6292182910438235
6835,-4.19423440077889,1.224917612374172,0.3022671394754326,2.365141092750841,-0.0019049028909063903,0.4184094392863074,0.2179999947547912,-0.2639999985694885,0.5593018252283897,0.3789179841533579,-1.2515910119957925
6836,-4.1725061133937045,1.231939728397436,0.30678913927720913,2.364094326839446,5.611661170212834e-05,0.5363579027003137,0.2179999947547912,-0.2639999985694885,-0.10206496307096619,0.19120930566834093,11.50057088368596
6837,-4.152195613010296,1.2390788377312556,0.3115493754803971,2.3648620933717623,0.011779715951471537,0.6640638278235325,0.2119999974966049,-0.2630000114440918,0.0643650126716469,0.982837344817381,10.706110702689738
6838,-4.130994115153064,1.2465049897658038,0.3172645379043406,2.3653212801063046,0.016220597092426847,0.5619633217873262,0.2060000002384185,-0.25,0.06051101320952737,0.5852133721810647,-13.454668013471766
6839,-4.109609134191187,1.2541010569182047,0.32346863056344854,2.3679124545916164,0.013430900306776627,0.6496423361388257,0.2060000002384185,-0.25,0.25045731095315593,-0.26964604632734734,8.474863536199711
6840,-4.088322188856731,1.261664239874464,0.33015868910309615,2.3695647945870464,0.017766787845106546,0.7854019834785445,0.2000000029802322,-0.2249999940395355,0.13117690658236175,0.3442199039787263,10.777764035241443
6841,-4.068104639047246,1.2694866309347896,0.336843461782736,2.372017822016429,0.01243481211623676,0.5461761222803504,0.1949999928474426,-0.1720000058412552,0.3065737818962274,-0.6663781841973901,-29.897903348502396
6842,-4.047118792056641,1.2774771094448898,0.34404591171931914,2.371652250308631,0.0028608719030907004,0.6887682715507344,0.19200000166893,-0.1019999980926513,-0.03780003596227815,-0.9899433589571159,14.743997567042765
6843,-4.025829447091058,1.285671311953683,0.35135821785284443,2.3695612434386266,-0.005652457857634685,1.0065730364083785,0.19200000166893,-0.1019999980926513,-0.12377834372713933,-0.5039514085304951,18.812634232327227
6844,-4.004872961907465,1.2935914485899072,0.3583713047626413,2.3591649448955057,0.0060534443435639185,0.6511385367325871,0.1889999955892563,-0.0540000014007091,-2.628608365065939,2.959729592132051,-89.8683406604382
6845,-3.984514759156777,1.3018351671008217,0.3649442189854176,2.3478922115397034,0.009735505325848659,0.671610546839048,0.1870000064373016,-0.0199999995529651,-1.1794410758625966,0.38524586976966935,2.1419409883057345
